URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change
https://theheadachelab.com/,46.66,18,21,0,2,5,1,0,0,7,14,0,0,0,21
https://theheadachelab.com/botox-savings-program-evergreen-park/,35.55,59,16,0,0,6,0,0,0,0,7,0,0,0,9
https://theheadachelab.com/botox-for-blepharospasm/,17.77,17,8,0,0,1,0,1,0,0,8,0,0,0,8
https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,19,0,0,0,1,0,1,0,0,0,0,0,0,0
https://theheadachelab.com/migraine-treatment-evergreen-park/,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
https://theheadachelab.com/our-story-migraine-treatment-evergreen-park/,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
https://theheadachelab.com/migraine-and-headache-treatment-chicago-suburbs/,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
https://theheadachelab.com/patient-resources/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://theheadachelab.com/blepharospasm-treatment-evergreen-park/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://theheadachelab.com/about/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://theheadachelab.com/migraine-quiz-evergreen-park/,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
https://theheadachelab.com/chronic-headache-treatment/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://theheadachelab.com/botox-for-blepharospasm-evergreen-park-il/,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
https://theheadachelab.com/meet-the-team/,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
https://theheadachelab.com/contact-headache-specialist-evergreen-park/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://theheadachelab.com/botox-for-chronic-migraine/,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
